======================================
Simulation Data for Service Time: 11
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
46 	 97.810000 	 150.070000 	    112.360000 	 182.410000 	 17369.880000
47 	 98.780000 	 189.280000 	    121.380000 	 249.690000 	 17697.580000
48 	 115.790000 	 189.070000 	    135.380000 	 230.580000 	 18052.740000
49 	 194.220000 	 149.340000 	    302.530000 	 213.600000 	 18133.340000
	 Mean		95th_Percentile	Confidence(+)	Confidence(-)
D value: 74.830000 	 121.380000 	 85.490000 	 64.170000
T value: 69.070000 	 98.780000 	 75.490000 	 62.650000
P value: 18021.240000 	     -      	 18160.590000 	 17881.890000
======================================
 
======================================
Simulation Data for Service Time: 17
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
0 	 65.290000 	 685.300000 	    55.400000 	 649.150000 	 17419.310000
1 	 65.460000 	 615.080000 	    60.570000 	 627.300000 	 18214.290000
2 	 68.850000 	 209.400000 	    61.670000 	 204.760000 	 18270.070000
3 	 70.070000 	 396.140000 	    63.720000 	 387.060000 	 17959.840000
4 	 72.260000 	 177.440000 	    65.330000 	 216.840000 	 19262.780000
5 	 74.000000 	 741.120000 	    69.320000 	 788.160000 	 17891.380000
6 	 74.010000 	 951.310000 	    70.830000 	 1033.200000 	 17433.880000
7 	 77.640000 	 224.780000 	    71.500000 	 229.960000 	 18279.900000
8 	 79.730000 	 485.730000 	    72.110000 	 473.290000 	 17361.600000
9 	 80.290000 	 735.360000 	    73.850000 	 717.980000 	 17309.030000
10 	 80.440000 	 209.050000 	    75.490000 	 316.780000 	 18444.990000
11 	 82.080000 	 372.490000 	    77.980000 	 378.580000 	 17991.630000
12 	 82.270000 	 184.660000 	    84.030000 	 260.780000 	 18719.370000
13 	 82.560000 	 331.180000 	    84.500000 	 349.140000 	 17647.700000
14 	 82.920000 	 308.850000 	    87.050000 	 372.210000 	 18601.920000
15 	 86.690000 	 540.040000 	    87.700000 	 571.370000 	 17832.580000
16 	 90.550000 	 755.180000 	    87.860000 	 922.850000 	 17928.690000
17 	 99.090000 	 210.170000 	    88.440000 	 212.960000 	 18504.440000
18 	 103.300000 	 298.480000 	    88.540000 	 291.900000 	 17786.320000
19 	 107.480000 	 336.020000 	    89.200000 	 394.130000 	 18636.700000
20 	 107.610000 	 261.730000 	    89.740000 	 312.860000 	 19097.240000
21 	 107.740000 	 569.510000 	    96.150000 	 568.530000 	 17586.800000
22 	 110.950000 	 387.830000 	    96.310000 	 415.800000 	 18065.770000
23 	 111.840000 	 168.920000 	    100.810000 	 197.470000 	 18962.960000
24 	 115.380000 	 469.270000 	    106.920000 	 505.020000 	 18007.270000
25 	 115.670000 	 197.950000 	    108.390000 	 204.440000 	 18408.400000
26 	 116.090000 	 878.740000 	    111.660000 	 841.530000 	 17336.550000
27 	 124.060000 	 403.620000 	    115.330000 	 458.190000 	 18497.870000
28 	 124.970000 	 499.390000 	    116.260000 	 554.920000 	 17697.150000
29 	 127.950000 	 1059.520000 	    118.540000 	 1231.650000 	 17792.300000
30 	 129.320000 	 294.250000 	    122.030000 	 283.250000 	 17409.070000
31 	 133.010000 	 176.540000 	    131.320000 	 198.520000 	 18721.750000
